Orthogroup	Allma1_GeneCatalog_proteins_20131203.aa	Blabri1_GeneCatalog_proteins_20160901.aa	Blastocladiella_emersonii_ATCC_22665.proteins	Catan2_GeneCatalog_proteins_20160412.aa	Chytriomyces_confervae_GCA_006535975_ASM653597v1_protein	Parsed1_GeneCatalog_proteins_20170905.aa	Rhihy1_GeneCatalog_proteins_20151219.aa	Total
OG0000185	0	0	0	0	14	1	9	24
OG0000186	0	0	0	0	0	0	24	24
OG0000187	23	0	0	0	0	0	0	23
OG0000188	6	3	3	3	3	2	3	23
OG0000189	5	6	4	6	0	2	0	23
OG0000190	7	2	2	2	3	3	4	23
OG0000191	3	3	2	4	3	4	4	23
OG0000192	1	0	22	0	0	0	0	23
OG0000193	4	2	4	3	3	3	4	23
OG0000194	23	0	0	0	0	0	0	23
OG0000195	6	3	3	3	3	1	4	23
OG0000196	6	6	3	3	1	1	3	23
OG0000197	2	2	2	1	7	3	6	23
OG0000198	2	9	4	8	0	0	0	23
OG0000199	6	1	8	8	0	0	0	23
OG0000200	3	4	4	2	2	4	4	23
OG0000201	0	5	15	3	0	0	0	23
OG0000202	0	0	23	0	0	0	0	23
OG0000203	0	0	0	23	0	0	0	23
OG0000204	7	3	1	4	3	2	2	22
OG0000205	4	4	2	4	2	3	3	22
OG0000206	3	2	3	1	1	3	9	22
OG0000207	10	5	3	4	0	0	0	22
OG0000208	4	4	2	2	3	2	5	22
OG0000209	2	3	1	2	4	1	9	22
OG0000210	10	2	6	4	0	0	0	22
OG0000211	3	3	5	6	0	2	3	22
OG0000212	4	5	6	2	3	1	1	22
OG0000213	7	6	4	4	0	0	1	22
OG0000214	2	8	10	2	0	0	0	22
OG0000215	0	19	2	1	0	0	0	22
OG0000216	0	12	3	5	0	0	2	22
OG0000217	0	22	0	0	0	0	0	22
OG0000218	0	22	0	0	0	0	0	22
OG0000219	0	0	22	0	0	0	0	22
OG0000220	0	0	0	22	0	0	0	22
OG0000221	0	0	0	0	1	0	21	22
OG0000222	0	0	0	0	9	1	12	22
OG0000223	0	0	0	0	0	22	0	22
OG0000224	0	0	0	0	0	22	0	22
OG0000225	0	0	0	0	0	0	22	22
OG0000226	6	2	2	2	4	1	4	21
OG0000227	4	2	3	2	4	2	4	21
OG0000228	6	2	2	3	3	2	3	21
OG0000229	6	2	2	2	4	2	3	21
OG0000230	3	1	1	3	4	1	8	21
OG0000231	9	2	2	2	2	3	1	21
OG0000232	5	2	1	1	4	2	6	21
OG0000233	3	1	2	1	2	2	10	21
OG0000234	3	1	2	1	6	1	7	21
OG0000235	7	3	2	3	4	1	1	21
OG0000236	21	0	0	0	0	0	0	21
OG0000237	3	1	1	1	3	1	11	21
OG0000238	2	9	1	3	1	3	2	21
OG0000239	5	5	2	3	2	2	2	21
OG0000240	7	2	2	2	4	2	2	21
OG0000241	5	2	2	3	2	3	4	21
OG0000242	3	3	2	2	4	2	5	21
OG0000243	2	1	1	1	1	8	7	21
OG0000244	4	2	2	2	4	3	4	21
OG0000245	7	2	2	2	1	4	3	21
OG0000246	9	3	2	3	1	2	1	21
OG0000247	10	2	1	2	1	2	3	21
OG0000248	7	1	4	2	2	1	4	21
OG0000249	2	3	2	9	0	5	0	21
OG0000250	5	2	2	2	4	2	4	21
OG0000251	2	1	1	1	5	2	9	21
OG0000252	4	9	3	2	0	1	2	21
OG0000253	2	4	2	6	2	1	4	21
OG0000254	3	3	2	3	3	2	5	21
OG0000255	0	2	17	2	0	0	0	21
OG0000256	0	21	0	0	0	0	0	21
OG0000257	0	0	21	0	0	0	0	21
OG0000258	0	0	1	0	3	0	17	21
OG0000259	0	0	0	21	0	0	0	21
OG0000260	0	0	0	21	0	0	0	21
OG0000261	0	0	0	0	11	0	10	21
OG0000262	0	0	0	0	3	0	18	21
OG0000263	0	0	0	0	0	0	21	21
OG0000264	0	0	0	0	0	0	21	21
OG0000265	0	0	0	0	0	0	21	21
OG0000266	0	0	0	0	0	0	21	21
OG0000267	0	0	0	0	0	0	21	21
OG0000268	5	4	2	4	2	2	1	20
OG0000269	4	1	1	2	2	6	4	20
OG0000270	3	2	3	3	2	5	2	20
OG0000271	19	0	0	1	0	0	0	20
OG0000272	4	3	3	2	2	2	4	20
OG0000273	1	0	19	0	0	0	0	20
